,FH
2023-08-29 14:44:15,34.513092
2023-08-29 14:44:30,34.38049
2023-08-29 14:44:45,34.518692
2023-08-29 14:45:00,34.469757
2023-08-29 14:45:15,34.412285
2023-08-29 14:45:30,34.41915
2023-08-29 14:45:45,34.38727
2023-08-29 14:46:00,34.474903
2023-08-29 14:46:15,34.495487
2023-08-29 14:46:30,34.370724
2023-08-29 14:46:45,34.499107
2023-08-29 14:47:00,34.417145
2023-08-29 14:47:15,34.47138
2023-08-29 14:47:30,34.44761
2023-08-29 14:47:45,34.49362
2023-08-29 14:48:00,34.43855
2023-08-29 14:48:15,34.49181
2023-08-29 14:48:30,34.46907
2023-08-29 14:48:45,34.376907
2023-08-29 14:49:00,34.513252
2023-08-29 14:49:15,34.538105
2023-08-29 14:49:30,34.441345
2023-08-29 14:49:45,34.415672
2023-08-29 14:50:00,34.429356
2023-08-29 14:50:15,34.490433
2023-08-29 14:50:30,34.530334
2023-08-29 14:50:45,34.436024
2023-08-29 14:51:00,34.41913
2023-08-29 14:51:15,34.394684
2023-08-29 14:51:30,34.586945
2023-08-29 14:51:45,34.498585
2023-08-29 14:52:00,34.374714
2023-08-29 14:52:15,34.52688
2023-08-29 14:52:30,34.481434
2023-08-29 14:52:45,34.438446
2023-08-29 14:53:00,34.482697
2023-08-29 14:53:15,34.48678
2023-08-29 14:53:30,34.42911
2023-08-29 14:53:45,34.51032
2023-08-29 14:54:00,34.470707
2023-08-29 14:54:15,34.467983
2023-08-29 14:54:30,34.437763
2023-08-29 14:54:45,34.396526
2023-08-29 14:55:00,34.372314
2023-08-29 14:55:15,34.486813
2023-08-29 14:55:30,34.42598
2023-08-29 14:55:45,34.543427
2023-08-29 14:56:00,34.509228
2023-08-29 14:56:15,34.43463
2023-08-29 14:56:30,34.504833
2023-08-29 14:56:45,34.46144
2023-08-29 14:57:00,34.460735
2023-08-29 14:57:15,34.40527
2023-08-29 14:57:30,34.50046
2023-08-29 14:57:45,34.491394
2023-08-29 14:58:00,34.43375
2023-08-29 14:58:15,34.429703
2023-08-29 14:58:30,34.446865
2023-08-29 14:58:45,34.40694
2023-08-29 14:59:00,34.52493
2023-08-29 14:59:15,34.478394
2023-08-29 14:59:30,34.389347
2023-08-29 14:59:45,34.57339
2023-08-29 15:00:00,34.51636
2023-08-29 15:00:15,34.441067
2023-08-29 15:00:30,34.44995
2023-08-29 15:00:45,34.453903
2023-08-29 15:01:00,34.44305
2023-08-29 15:01:15,34.527946
2023-08-29 15:01:30,34.443165
2023-08-29 15:01:45,34.436836
2023-08-29 15:02:00,34.483646
2023-08-29 15:02:15,34.453323
2023-08-29 15:02:30,34.44538
2023-08-29 15:02:45,34.48969
2023-08-29 15:03:00,34.545223
2023-08-29 15:03:15,34.39263
2023-08-29 15:03:30,34.489178
2023-08-29 15:03:45,34.580788
2023-08-29 15:04:00,34.521812
2023-08-29 15:04:15,34.446945
2023-08-29 15:04:30,34.459263
2023-08-29 15:04:45,34.526646
2023-08-29 15:05:00,34.405804
2023-08-29 15:05:15,34.45321
2023-08-29 15:05:30,34.356834
2023-08-29 15:05:45,34.460434
2023-08-29 15:06:00,34.404587
2023-08-29 15:06:15,34.46375
2023-08-29 15:06:30,34.478443
2023-08-29 15:06:45,34.447678
2023-08-29 15:07:00,34.46949
2023-08-29 15:07:15,34.43512
